date,station_id,region_name,status,alert_type,source,anomaly_score,threshold_p95,threshold_p99,threshold_p995,rr_mm,rain_3d_mm,rain_7d_mm,ff_x,ff_avg,triggers
2018-03-28,96851,Kab. Sleman,NORMAL,NORMAL,LSTM_AUTOENCODER,2.595639228820801,5.292897081375118,9.178507280349733,9.473002943992615,0.3,24.3,49.0,4.0,2.0,
2018-03-29,96851,Kab. Sleman,NORMAL,NORMAL,LSTM_AUTOENCODER,2.5496044158935547,5.292897081375118,9.178507280349733,9.473002943992615,2.2,15.7,49.8,3.0,2.0,
2018-03-30,96851,Kab. Sleman,NORMAL,NORMAL,LSTM_AUTOENCODER,2.5599541664123535,5.292897081375118,9.178507280349733,9.473002943992615,0.0,2.5,49.8,3.0,2.0,
2018-03-31,96851,Kab. Sleman,NORMAL,NORMAL,LSTM_AUTOENCODER,2.5628252029418945,5.292897081375118,9.178507280349733,9.473002943992615,0.0,2.2,45.1,4.0,1.0,
2018-04-01,96851,Kab. Sleman,NORMAL,NORMAL,LSTM_AUTOENCODER,2.559234142303467,5.292897081375118,9.178507280349733,9.473002943992615,0.5,0.5,27.0,4.0,2.0,
2018-04-02,96851,Kab. Sleman,NORMAL,NORMAL,LSTM_AUTOENCODER,2.5808353424072266,5.292897081375118,9.178507280349733,9.473002943992615,0.0,0.5,16.199999999999996,2.0,1.0,
2018-04-03,96851,Kab. Sleman,NORMAL,NORMAL,LSTM_AUTOENCODER,2.917196273803711,5.292897081375118,9.178507280349733,9.473002943992615,51.4,51.9,54.39999999999999,3.0,2.0,
2018-04-04,96851,Kab. Sleman,NORMAL,NORMAL,LSTM_AUTOENCODER,3.186340808868408,5.292897081375118,9.178507280349733,9.473002943992615,0.0,51.4,54.1,3.0,2.0,
2018-04-05,96851,Kab. Sleman,NORMAL,NORMAL,LSTM_AUTOENCODER,3.1748578548431396,5.292897081375118,9.178507280349733,9.473002943992615,0.0,51.4,51.9,3.0,1.0,
2018-04-06,96851,Kab. Sleman,NORMAL,NORMAL,LSTM_AUTOENCODER,3.1390204429626465,5.292897081375118,9.178507280349733,9.473002943992615,8.0,8.0,59.9,4.0,1.0,
2018-04-07,96851,Kab. Sleman,NORMAL,NORMAL,LSTM_AUTOENCODER,2.217378854751587,5.292897081375118,9.178507280349733,9.473002943992615,38.1,46.1,98.0,3.0,1.0,
2018-04-08,96851,Kab. Sleman,NORMAL,NORMAL,LSTM_AUTOENCODER,1.9294453859329224,5.292897081375118,9.178507280349733,9.473002943992615,5.1,51.2,102.6,5.0,2.0,
2018-04-09,96851,Kab. Sleman,NORMAL,NORMAL,LSTM_AUTOENCODER,1.8822028636932373,5.292897081375118,9.178507280349733,9.473002943992615,0.0,43.2,102.6,6.0,2.0,
