date,station_id,station_name,region_name,province_name,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ff_avg,temp_range,rain_3d,rain_7d,rain_change_1d,wind_change_1d,ddd_x_sin,ddd_x_cos,day_of_year_sin,day_of_year_cos,station_96855,missing_RR,missing_ff_x,missing_ff_avg,missing_RH_avg,anomaly_score,status
2018-03-28,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,23.0,29.4,26.1,82.0,0.3,5.2,4.0,2.0,6.399999999999999,24.3,49.0,-12.9,1.0,0.984807753012208,-0.1736481776669303,0.9972495210773452,0.0741174251509443,0,0,0,0,0,2.5956392,NORMAL
2018-03-29,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,22.0,32.1,26.8,78.0,2.2,3.5,3.0,2.0,10.1,15.7,49.8,1.9,-1.0,-1.0,-1.8369701987210294e-16,0.998376906467142,0.0569521960340397,0,0,0,0,0,2.5496044,NORMAL
2018-03-30,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,23.0,31.8,27.5,77.0,0.0,11.2,3.0,2.0,8.8,2.5,49.8,-2.2,0.0,-0.984807753012208,-0.1736481776669303,0.9992088560679752,0.0397701138460557,0,0,0,0,0,2.5599542,NORMAL
2018-03-31,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,24.0,30.6,26.1,86.0,0.0,9.1,4.0,1.0,6.600000000000001,2.2,45.1,0.0,1.0,-0.9396926207859084,-0.3420201433256685,0.9997451236925734,0.0225762630415454,0,0,0,0,0,2.5628252,NORMAL
2018-04-01,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,23.0,31.8,27.3,78.0,0.5,6.0,4.0,2.0,8.8,0.5,27.0,0.5,0.0,-0.984807753012208,-0.1736481776669303,0.9999855506507186,0.0053757315575838,0,0,0,0,0,2.5592341,NORMAL
2018-04-02,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,24.0,31.3,25.8,86.0,0.0,8.1,2.0,1.0,7.300000000000001,0.5,16.199999999999996,-0.5,-2.0,1.2246467991473532e-16,-1.0,0.9999300657962056,-0.0118263906918325,0,0,0,0,0,2.5808353,NORMAL
2018-04-03,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,23.0,31.2,26.7,83.0,51.4,4.8,3.0,2.0,8.2,51.9,54.39999999999999,51.4,1.0,-0.9396926207859084,-0.3420201433256685,0.9995786855478958,-0.0290250133219752,0,0,0,0,0,2.9171963,NORMAL
2018-04-04,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,23.0,31.3,27.5,81.0,0.0,10.1,3.0,2.0,8.3,51.4,54.1,-51.4,0.0,-0.7660444431189779,-0.6427876096865395,0.9989315138848576,-0.0462150469837083,0,0,0,0,0,3.1863408,NORMAL
2018-04-05,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,24.0,32.2,27.4,82.0,0.0,9.7,3.0,1.0,8.200000000000003,51.4,51.9,0.0,0.0,0.3420201433256689,-0.9396926207859084,0.9979887423155984,-0.0633914048695103,0,0,0,0,0,3.1748579,NORMAL
2018-04-06,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,24.0,32.3,26.4,85.0,8.0,6.8,4.0,1.0,8.299999999999997,8.0,59.9,8.0,1.0,-2.4492935982947064e-16,1.0,0.9967506498213928,-0.0805490042187416,0,0,0,0,0,3.1390204,NORMAL
