experiment_id,sequence_length,feature_group,count_type,label,count
rain_7d,7,rain_only,status,NORMAL,1845
rain_7d,7,rain_only,status,WASPADA,86
rain_7d,7,rain_only,status,SIAGA,14
rain_7d,7,rain_only,status,AWAS,18
rain_7d,7,rain_only,alert_type,NORMAL,1845
rain_7d,7,rain_only,alert_type,ANOMALI_CUACA,44
rain_7d,7,rain_only,alert_type,ANGIN_KENCANG,35
rain_7d,7,rain_only,alert_type,CURAH_HUJAN_EKSTREM,23
rain_7d,7,rain_only,alert_type,CURAH_HUJAN_EKSTREM_DAN_ANGIN_KENCANG,16
wind_7d,7,wind_only,status,NORMAL,1776
wind_7d,7,wind_only,status,WASPADA,79
wind_7d,7,wind_only,status,SIAGA,102
wind_7d,7,wind_only,status,AWAS,6
wind_7d,7,wind_only,alert_type,NORMAL,1776
wind_7d,7,wind_only,alert_type,ANGIN_KENCANG,128
wind_7d,7,wind_only,alert_type,ANOMALI_CUACA,45
wind_7d,7,wind_only,alert_type,CURAH_HUJAN_EKSTREM_DAN_ANGIN_KENCANG,9
wind_7d,7,wind_only,alert_type,CURAH_HUJAN_EKSTREM,5
all_7d,7,all_features,status,NORMAL,1835
all_7d,7,all_features,status,WASPADA,101
all_7d,7,all_features,status,SIAGA,7
all_7d,7,all_features,status,AWAS,20
all_7d,7,all_features,alert_type,NORMAL,1835
all_7d,7,all_features,alert_type,ANGIN_KENCANG,49
all_7d,7,all_features,alert_type,ANOMALI_CUACA,35
all_7d,7,all_features,alert_type,CURAH_HUJAN_EKSTREM,27
all_7d,7,all_features,alert_type,CURAH_HUJAN_EKSTREM_DAN_ANGIN_KENCANG,17
rain_30d,30,rain_only,status,NORMAL,1681
rain_30d,30,rain_only,status,WASPADA,62
rain_30d,30,rain_only,status,SIAGA,5
rain_30d,30,rain_only,status,AWAS,15
rain_30d,30,rain_only,alert_type,NORMAL,1681
rain_30d,30,rain_only,alert_type,ANOMALI_CUACA,43
rain_30d,30,rain_only,alert_type,ANGIN_KENCANG,17
rain_30d,30,rain_only,alert_type,CURAH_HUJAN_EKSTREM,16
rain_30d,30,rain_only,alert_type,CURAH_HUJAN_EKSTREM_DAN_ANGIN_KENCANG,6
wind_30d,30,wind_only,status,NORMAL,1538
wind_30d,30,wind_only,status,WASPADA,180
wind_30d,30,wind_only,status,SIAGA,31
wind_30d,30,wind_only,status,AWAS,14
wind_30d,30,wind_only,alert_type,NORMAL,1538
wind_30d,30,wind_only,alert_type,ANGIN_KENCANG,162
wind_30d,30,wind_only,alert_type,ANOMALI_CUACA,41
wind_30d,30,wind_only,alert_type,CURAH_HUJAN_EKSTREM_DAN_ANGIN_KENCANG,12
wind_30d,30,wind_only,alert_type,CURAH_HUJAN_EKSTREM,10
all_30d,30,all_features,status,NORMAL,1692
all_30d,30,all_features,status,WASPADA,51
all_30d,30,all_features,status,SIAGA,5
all_30d,30,all_features,status,AWAS,15
all_30d,30,all_features,alert_type,NORMAL,1692
all_30d,30,all_features,alert_type,ANOMALI_CUACA,31
all_30d,30,all_features,alert_type,ANGIN_KENCANG,25
all_30d,30,all_features,alert_type,CURAH_HUJAN_EKSTREM,13
all_30d,30,all_features,alert_type,CURAH_HUJAN_EKSTREM_DAN_ANGIN_KENCANG,2
